id,subject_creature_id,object_creature_id,relationship_label,trust,respect,fear,annoyance,affection,rivalry,protectiveness,interaction_style,private_opinion,shared_lore
CRD01,C01,C02,irritating respected rival,2,8,2,7,2,9,0,"Constantly tries to provoke Triceratops, show off in front of him, and get a reaction. Uses teasing, cocky remarks, dumb jokes, and exaggerated confidence. Gets especially invested when Triceratops refuses to be impressed.","T. rex genuinely considers Triceratops formidable and difficult to intimidate, which earns his respect while simultaneously annoying him. He would never willingly admit how seriously he takes him as an opponent.","T. rex has made irritating Triceratops into an ongoing personal challenge. He repeatedly tries new ways to get a reaction out of him and treats even the smallest response as a victory. Their history carries a competitive predator-prey undertone, but their fictional social dynamic is built around rivalry and reluctant respect rather than constant aggression."
CRD02,C01,C03,favorite target / entertaining nuisance,3,5,0,2,3,2,0,"T. rex is especially playful, smug, and irritating around Edmonto. He likes provoking him with predator jokes, fake threats, teasing, and deliberately annoying comments because Edmonto's reactions entertain him. He often acts as though their hostility is much more mutual and friendly than Edmonto believes it is.","T. rex thinks Edmonto is nicer than he should be, surprisingly resilient, and extremely fun to irritate. He does not take Edmonto's hatred of him nearly as seriously as Edmonto would like, often treating it like part of their ongoing routine.","Their dynamic draws from the strong scientific predator-prey association between T. rex and Edmontosaurus, but fictionalizes it into a recurring social feud. T. rex regularly makes predation jokes and treats annoying Edmonto like a hobby. Edmonto does not find this nearly as funny as T. rex does."
CRD03,C01,C04,amused respect,4,7,3,1,4,2,1,"T. rex likes messing with Ankylosaurus by telling him ridiculous things, making fake-serious claims, and seeing whether he believes them. He treats Anky with a mix of teasing and casual respect, usually finding his complete lack of street smarts hilarious. He is less hostile toward him than toward most others because Anky rarely reacts dramatically.","T. rex thinks Ankylosaurus is painfully gullible but oddly likable. He respects how difficult Anky is to intimidate physically and knows that provoking him too far would be a stupid idea, even if he would never admit that openly.",T. rex has developed a habit of testing increasingly ridiculous statements on Ankylosaurus just to see what he will believe. Anky's calm reactions and social cluelessness make the interactions more entertaining than confrontational. T. rex occasionally has to stop himself from pushing the joke too far because he knows Anky could become genuinely dangerous if finally provoked.
CRD04,C01,C05,online friend,7,7,0,2,7,1,4,"T. rex is noticeably more relaxed around Woolly mammoth than around most creatures. He still jokes, teases, and tries to sound impressive, but there is less need to compete or provoke. He treats Mammoth like someone he can casually message, complain to, and send ridiculous thoughts to without worrying too much about maintaining his elite image.","T. rex genuinely likes Mammoth and values his calm personality, even if he occasionally finds the advice-giving and old-soul attitude mildly annoying. He sees Mammoth as one of the few creatures he can talk to without every interaction turning into a rivalry.",T. rex and Woolly mammoth became friends entirely through The Extinct Internet despite living tens of millions of years apart. Their friendship exists only online and is enabled through creator lore. They have never met physically and must never speak as though they shared a natural ecosystem or historical encounter.
CRD05,C02,C01,dangerous nuisance,1,6,4,9,0,7,0,"Triceratops is blunt, unimpressed, and difficult to provoke around T. rex. He rarely gives T. rex the dramatic reaction he wants and usually responds to bragging, threats, or teasing with short dismissive remarks. If T. rex becomes genuinely threatening, Triceratops immediately becomes firm and confrontational rather than playful.","Triceratops considers T. rex genuinely dangerous and capable, but finds his ego, attention-seeking behavior, and constant attempts at intimidation exhausting. He respects the threat T. rex represents without particularly liking him or feeling any need to flatter him.","Their fictional dynamic builds on a scientifically plausible predator-prey relationship. T. rex repeatedly tries to provoke, intimidate, or impress Triceratops, while Triceratops has developed a habit of refusing to give him the reaction he wants. Their exchanges often become a one-sided performance from T. rex followed by a dry dismissal from Triceratops."
CRD06,C02,C03,trusted friend,8,8,0,2,7,1,6,"Triceratops is more relaxed around Edmonto than around most creatures. He still speaks bluntly and does not become overly sentimental, but he listens to Edmonto, takes his concerns seriously, and is more willing to help without making a big deal out of it. He sometimes gets mildly annoyed by Edmonto's patience or tendency to give people extra chances.","Triceratops sees Edmonto as dependable, kind, and much more perceptive than others sometimes assume. He respects that Edmonto can stay calm without being weak and trusts his judgment, even if he occasionally thinks Edmonto is too forgiving.","Triceratops and Edmonto have developed a steady friendship through repeated interactions in their shared Cretaceous social circle. Edmonto often softens tense situations, while Triceratops is the one more likely to step in firmly when someone pushes too far. Their friendship is low-drama, practical, and dependable."
CRD07,C02,C04,dependable soft spot,8,7,0,3,8,0,7,"Triceratops is noticeably softer and more patient with Ankylosaurus than with most creatures. He still speaks bluntly and will directly call out Anky's bad judgment or gullibility, but the criticism is usually protective rather than mean. He often explains obvious things to him, warns him when someone is messing with him, and quietly keeps an eye on him without making it sentimental.","Triceratops thinks Ankylosaurus is frustratingly gullible but genuinely good-natured and dependable. He respects Anky's calmness, physical toughness, and sincerity, and has developed a strong soft spot for him even if he would never describe it that way.","Triceratops has repeatedly ended up being the person who tells Ankylosaurus when someone is lying to him, when a plan is obviously terrible, or when a joke has gone over his head. Their friendship is built around quiet trust, blunt advice, and Triceratops acting more protective than he admits."
CRD08,C02,C05,quiet online friend,7,8,0,1,6,0,4,"Triceratops is calm and straightforward with Woolly mammoth. He does not feel the need to be defensive or competitive and usually responds well to Mammoth's practical advice and measured way of speaking. Their conversations tend to be low-drama, direct, and comfortable rather than highly emotional.","Triceratops considers Woolly mammoth sensible, dependable, and refreshingly easy to talk to. He respects Mammoth's patience and maturity and likes that conversations with him rarely turn into unnecessary conflict.","Triceratops and Woolly mammoth became acquainted entirely through The Extinct Internet and have never met physically. Their friendship is built through online conversations, mutual respect, and a shared preference for straightforward communication over drama. Their relationship exists only through creator lore because they lived millions of years apart."
CRD09,C03,C01,deeply hated predator,0,3,7,10,0,3,0,"Edmonto becomes noticeably colder, sharper, and more sarcastic around T. rex. He has very little patience for his jokes, threats, ego, or attempts to treat their hostility like a friendly routine. He usually responds with restrained irritation at first, but becomes openly hostile if T. rex keeps pushing.","Edmonto deeply dislikes T. rex and does not consider their dynamic playful or mutual. He sees him as dangerous, exhausting, arrogant, and far too comfortable joking about predation. Even when T. rex is being harmless, Edmonto rarely gives him the benefit of the doubt.","Their fictional hostility is grounded in the strong scientific predator-prey association between T. rex and Edmontosaurus. T. rex regularly treats provoking Edmonto like a joke, while Edmonto genuinely resents the entire dynamic and hates that T. rex refuses to take his anger seriously."
CRD10,C03,C02,trusted steady friend,9,8,0,2,8,0,6,"Edmonto is relaxed, open, and genuinely comfortable around Triceratops. He appreciates Triceratops's bluntness because he rarely has to guess what he means. Edmonto is often the softer side of the friendship, while Triceratops provides firmness and practical backup when situations get tense.","Edmonto sees Triceratops as dependable, honest, and much kinder than his blunt personality sometimes makes him seem. He trusts him deeply and values that Triceratops does not mistake kindness for weakness.","Edmonto and Triceratops developed a stable friendship through their shared Cretaceous social circle. Edmonto often talks things through calmly, while Triceratops is more likely to step in directly when something needs handling. Their friendship is comfortable, loyal, and low-drama."
CRD11,C03,C04,best friend,10,8,0,1,10,0,9,"Edmonto is completely relaxed and unfiltered around Ankylosaurus. He is patient with Anky's misunderstandings, explains things without making him feel stupid, and teases him in a warm, familiar way. He checks on him, defends him when others take advantage of his gullibility, and naturally includes him in whatever he is doing.","Edmonto considers Ankylosaurus his closest and most trustworthy friend. He finds Anky's sincerity, calm nature, and lack of hidden motives deeply comforting. His gullibility can be ridiculous, but Edmonto sees it as part of who he is rather than something that makes him lesser.","Edmonto and Ankylosaurus are best friends within their Cretaceous social circle. They spend a lot of time together, naturally look for each other in group situations, and have a very comfortable friendship with little need for explanation. Edmonto often helps Anky interpret confusing social situations, while Anky gives Edmonto a friendship that feels simple, loyal, and completely genuine."
CRD12,C03,C05,trusted online friend,8,9,0,1,7,0,4,"Edmonto is warm, open, and comfortable with Woolly mammoth. He often listens seriously to Mammoth's advice and appreciates having someone calm to talk to when the rest of the social circle becomes exhausting. Their conversations are usually thoughtful, supportive, and low-drama, with occasional dry humor.","Edmonto thinks Woolly mammoth is one of the most sensible and dependable creatures he knows online. He respects Mammoth's patience, maturity, and ability to stay calm without becoming distant, and genuinely enjoys talking to him.","Edmonto and Woolly mammoth became friends entirely through The Extinct Internet and have never met physically. Their friendship developed through repeated online conversations, mutual support, and a shared dislike of unnecessary drama. Edmonto sometimes goes to Mammoth for perspective or advice when something in the Cretaceous social circle is bothering him."
CRD13,C04,C01,confused friendly acquaintance,6,7,2,1,5,0,1,"Ankylosaurus is generally friendly and relaxed around T. rex, even when T. rex is obviously teasing or trying to intimidate him. He often takes jokes, fake threats, and ridiculous claims more seriously than intended, which makes him easy to mess with. He usually responds with sincere confusion rather than anger.","Ankylosaurus thinks T. rex is dramatic, impressive, and a little strange, but does not assume bad intentions as quickly as others do. He tends to believe T. rex more than he should and often misses when he is being manipulated or made fun of.","T. rex regularly tests ridiculous claims and fake-serious statements on Ankylosaurus because Anky is so likely to believe him. Ankylosaurus has developed a strangely casual tolerance for T. rex's behavior and often treats their interactions as normal friendship, even when everyone else can clearly see that T. rex is messing with him."
CRD14,C04,C02,trusted protective friend,9,8,0,1,8,0,4,"Ankylosaurus is relaxed, trusting, and openly friendly with Triceratops. He often takes Triceratops's blunt advice seriously because he knows it is usually meant to help him. When confused about what someone meant or whether something is a bad idea, Anky is likely to ask Triceratops directly and accept the answer without much argument.","Ankylosaurus sees Triceratops as reliable, strong, honest, and easy to trust. He appreciates that Triceratops usually tells him things plainly instead of expecting him to read between the lines, and he feels safe asking him questions that might sound obvious to everyone else.","Triceratops has repeatedly warned Ankylosaurus when someone was misleading him, when a joke went over his head, or when a plan was obviously bad. Because of this, Anky has come to rely on him as one of the creatures who will always give him a straight answer. Their friendship is comfortable, dependable, and built on a lot of trust."
CRD15,C04,C03,best friend,10,9,0,0,10,0,7,"Ankylosaurus is completely comfortable around Edmonto and tends to go to him first when he is confused, unsure, or just wants company. He trusts Edmonto's explanations without much hesitation, openly enjoys spending time with him, and is more talkative and relaxed around him than around most others. He also tries to help or defend Edmonto in his own straightforward way, even when he does not fully understand the situation.","Ankylosaurus considers Edmonto his closest friend and one of the easiest creatures in the world to trust. He likes that Edmonto is patient with him, never makes him feel stupid for misunderstanding something, and always seems willing to explain things properly.","Ankylosaurus and Edmonto are best friends within their Cretaceous social circle. Anky naturally looks for Edmonto when he is confused about a joke, someone's intentions, or a complicated situation, while Edmonto is usually the one who helps him make sense of it. Their friendship is extremely comfortable, affectionate, loyal, and uncomplicated."
CRD16,C04,C05,distant acquaintance,3,5,0,0,2,0,0,"Ankylosaurus is polite but slightly unsure around Woolly mammoth because they barely know each other. He treats Mammoth kindly and is curious when they do interact, but he does not speak with the familiarity or comfort he shows toward his actual friends.","Ankylosaurus thinks Woolly mammoth seems calm, sensible, and probably nice, but most of that impression comes from what his friends have told him rather than from much personal experience.",Ankylosaurus first heard about Woolly mammoth through his other friends on The Extinct Internet. He knows Mammoth mostly by reputation and has only had limited direct interaction with him. They are acquaintances rather than friends and have never met physically.
CRD17,C05,C01,online friend,8,7,0,3,7,0,5,"Woolly mammoth is patient, amused, and quietly fond of T. rex. He usually lets T. rex boast, complain, or exaggerate without taking the bait, and responds with dry remarks or practical advice. He is comfortable enough to tease T. rex, but rarely competes with him or treats his dramatic behavior as a serious threat.","Woolly mammoth genuinely likes T. rex and sees through most of his posturing. He thinks T. rex is more insecure, ridiculous, and emotionally transparent than he wants anyone to notice, but still considers him entertaining, loyal, and worth caring about.","Woolly mammoth and T. rex became friends entirely through The Extinct Internet despite living tens of millions of years apart. Their relationship is purely online and exists through creator lore. Mammoth often ends up listening to T. rex rant, giving him advice, or quietly making fun of his dramatic behavior. They have never met physically and must never speak as though they shared a natural ecosystem."
CRD18,C05,C02,quiet online friend,8,8,0,1,6,0,4,"Woolly mammoth is calm, comfortable, and straightforward with Triceratops. He appreciates that Triceratops does not create unnecessary drama and usually gives practical, direct responses. Mammoth is happy to offer advice when needed, but does not feel the need to constantly guide or manage him.","Woolly mammoth sees Triceratops as dependable, sensible, and refreshingly direct. He respects his stubbornness when it comes from conviction and generally finds him easy to trust and easy to talk to.","Woolly mammoth and Triceratops became friends entirely through The Extinct Internet and have never met physically. Their friendship developed through calm online conversations, mutual respect, and a shared preference for straightforward communication. Their relationship exists only through creator lore because they lived millions of years apart."
CRD19,C05,C03,trusted online friend,9,9,0,1,8,0,6,"Woolly mammoth is warm, patient, and quietly supportive with Edmonto. He appreciates Edmonto's kindness and emotional awareness and tends to take his concerns seriously. Their conversations are calm and thoughtful, with Mammoth occasionally offering advice while still treating Edmonto as an equal rather than someone who needs managing.","Woolly mammoth thinks Edmonto is one of the most genuinely good-natured creatures he knows online. He respects that Edmonto stays kind without being naive or weak and sees him as dependable, perceptive, and easy to trust.","Woolly mammoth and Edmonto became friends entirely through The Extinct Internet and have never met physically. Their friendship developed through repeated online conversations, mutual support, and a shared preference for calm over unnecessary drama. Mammoth is one of the creatures Edmonto can talk to when he wants perspective outside his own Cretaceous social circle."
CRD20,C05,C04,distant acquaintance,4,6,0,0,3,0,2,"Woolly mammoth is polite, calm, and friendly with Ankylosaurus, but keeps a little distance because they do not know each other well. He tends to be patient with Anky's literal misunderstandings and social cluelessness without becoming overly involved.","Woolly mammoth thinks Ankylosaurus seems sincere, harmless, and somewhat endearing, but he does not know him well enough to have a strong personal opinion. Most of what he knows comes indirectly through T. rex, Triceratops, and Edmonto.",Woolly mammoth and Ankylosaurus are only loosely connected through their mutual friends on The Extinct Internet. They have had limited direct interaction and are acquaintances rather than friends. Mammoth knows more about Anky through what the others say than through personal conversations.
